"Case.Study.ID","Location","Region.or.district","Study.Date..start.","Study.Date..end.","State","Land tenure","Fire development stage","Primary AFT","Secondary AFT","Tertiary AFT"
"306bi",NA,"Northern Appalachia","1999","2012","Virginia","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bj",NA,"Allegheny Plateau","1999","2012","Pennsylvania","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bk",NA,"Finger Lakes","1999","2012","New York","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bl",NA,"Northeastern Highlands","1999","2012","New York","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bm",NA,"Connecticut River Basin and Highlands","1999","2012","New Hampshire","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bn",NA,"The North Woods","1999","2012","Maine","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bo",NA,"Mississippi Delta","1999","2012","Louisiana","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bp",NA,"Coastal Gulf Plains","1999","2012","Alabama","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306c",NA,"Oregon Coastal Range","1999","2012","Oregon","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306d",NA,"Northern California Coastal Range","1999","2012","California","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306e",NA,"Southern California Coastal Range","1999","2012","California","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306f",NA,"California Central Valley","1999","2012","California","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306g",NA,"Sierra Nevada Mountain Range","1999","2012","California","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306h",NA,"Cascade Mountain Range","1999","2012","Oregon","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306i",NA,"Grande Coulee Basin of the Columbia Plateau","1999","2012","Washington","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
